age,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
27,72,68,75,71,63,68,76,7,12,59,24,3,0,2,5,3,0,3,0,0,37,0,115,37,0,2,4,11,1,0,1,0,0,50,0,0,1,0,0,0,0,0,0,0,0,0
27,67,63,65,64,22,57,64,13,8,16,7,2,0,1,2,2,0,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,42,34,63,58,48,41,58,12,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,68,65,75,68,58,61,63,8,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,66,64,62,72,44,59,64,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,52,48,59,71,46,26,72,9,16,38,18,12,0,0,5,4,0,2,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,68,68,69,72,58,58,66,14,6,57,28,6,1,0,6,6,1,5,0,0,51,0,83,30,6,2,2,5,8,1,6,0,0,38,0,0,0,0,0,0,0,1,0,0,0,0
25,70,67,69,66,63,69,70,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,6,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
22,80,78,80,70,64,78,68,7,14,46,22,10,0,1,3,4,0,12,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,71,66,63,68,52,61,64,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
