age,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
21,54,35,68,19,60,49,23,9,9,12,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,50,44,60,26,51,47,26,8,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,66,39,62,24,67,66,23,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,67,47,73,24,74,57,19,6,9,69,16,10,4,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,61,46,64,13,72,53,22,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,59,55,64,36,69,48,20,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,62,53,68,34,71,66,19,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,72,48,74,41,76,65,27,12,9,70,7,25,8,1,0,2,0,4,0,0,0,0,27,7,11,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,74,53,74,14,72,69,15,8,9,46,3,27,4,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,53,29,67,33,63,44,23,7,14,44,13,16,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,71,32,70,12,75,50,14,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,75,68,75,69,64,74,63,11,26,63,20,25,2,1,0,2,0,10,0,0,0,0,24,4,17,0,2,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,53,39,66,13,69,44,16,12,6,16,3,13,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,74,62,77,42,78,74,29,14,16,52,16,12,3,0,0,1,0,13,0,0,0,0,63,13,20,2,5,0,2,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,16,29,21,12,4,33,9,61,69,35,7,8,2,1,0,0,0,6,0,0,0,0,45,9,6,3,3,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,69,55,75,43,78,65,23,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,93,9,23,9,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,74,68,72,74,72,70,66,5,14,38,13,17,2,0,0,5,0,4,0,0,0,0,59,21,10,2,3,0,9,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,60,33,74,13,65,52,11,13,14,27,6,14,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,71,41,75,21,83,62,19,12,10,21,6,14,0,0,0,2,0,3,0,0,0,0,111,26,10,10,2,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,66,35,76,21,82,59,12,15,5,15,4,29,0,0,0,0,0,1,0,1,0,0,111,26,7,11,2,0,3,0,11,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
21,65,39,68,21,63,60,18,6,11,27,6,15,1,1,0,1,0,6,0,0,0,0,21,1,11,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,70,65,73,37,66,67,30,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,64,43,71,14,77,65,14,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,103,22,14,9,4,0,4,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,69,67,72,25,64,67,16,12,12,20,5,18,1,0,0,1,0,4,0,0,0,0,64,16,21,3,1,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,67,45,74,25,84,60,16,4,4,86,16,21,8,0,0,1,0,14,0,0,0,0,51,7,20,4,3,0,1,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,60,46,66,32,66,48,25,5,6,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,62,39,74,19,78,48,22,8,6,59,15,17,3,2,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,80,57,83,24,68,75,29,7,11,67,18,17,3,3,0,1,0,14,0,0,0,0,37,8,13,2,2,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,69,61,71,62,67,66,68,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,73,65,75,37,70,76,34,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,68,62,72,28,70,59,18,16,11,59,15,18,2,3,0,4,0,14,0,0,0,0,66,21,8,3,1,0,1,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
