age,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
19,21,19,26,12,5,41,12,59,68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,34,25,17,24,11,24,19,65,68,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,7,0,0,1,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0
29,16,12,18,24,13,38,15,68,72,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,21,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
32,28,25,27,22,16,63,20,69,73,5,2,20,0,0,1,1,0,0,0,0,3,0,2,6,31,0,0,0,0,0,1,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0
23,21,22,23,19,12,38,13,67,68,8,2,36,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,52,38,10,17,4,45,5,77,79,98,36,0,0,0,10,4,0,0,1,0,41,0,67,24,0,0,0,7,0,0,1,0,0,27,0,0,0,1,0,0,0,0,0,0,0,0
39,27,26,23,19,10,49,12,76,72,28,29,9,0,0,3,2,0,0,0,0,66,0,103,35,2,0,0,11,2,0,0,2,0,43,0,0,0,0,0,0,0,1,0,0,0,0
25,26,22,23,11,11,38,13,72,72,-1,0,14,0,0,0,0,0,1,0,0,5,0,-2,1,35,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0
28,20,13,11,20,11,25,11,68,72,3,3,35,0,0,0,1,0,0,0,0,5,0,22,6,29,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0
36,28,36,21,19,10,31,18,61,67,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
