age,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
30,78,68,80,55,75,74,28,12,15,57,14,14,4,2,0,3,0,7,0,1,0,0,47,19,5,1,2,0,2,0,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
30,76,54,80,42,71,73,40,7,11,20,6,16,0,1,0,0,0,5,0,0,0,0,69,17,15,5,1,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,68,60,72,45,70,67,38,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,84,80,82,69,82,80,60,11,8,50,13,11,1,4,0,3,0,3,0,0,0,0,96,29,3,5,5,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,66,63,70,26,66,67,20,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,38,17,0,2,0,0,4,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
27,69,67,73,70,66,64,58,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,82,74,80,78,73,77,70,12,14,35,14,10,1,0,0,4,0,3,0,0,0,0,71,24,9,2,4,0,6,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,65,62,63,66,57,59,51,7,9,33,14,14,0,0,0,2,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,54,68,66,67,37,46,67,15,7,14,3,20,0,0,0,1,0,1,0,0,0,0,6,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,69,67,76,67,63,59,69,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,60,26,7,1,1,0,4,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,74,56,81,36,72,75,20,14,6,9,2,14,0,0,0,1,0,2,0,0,0,0,70,21,3,5,3,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,75,72,72,75,55,73,63,9,10,62,32,6,0,2,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,78,74,75,57,71,71,52,7,16,66,30,8,0,2,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,66,61,59,40,56,54,39,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,86,77,86,68,77,83,60,15,11,116,27,4,8,7,0,3,0,17,0,0,0,0,89,23,9,4,6,0,2,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,71,65,74,47,68,67,44,6,12,50,11,19,3,2,0,5,1,5,0,0,0,0,65,15,9,5,2,0,4,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,67,56,72,40,64,66,53,11,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,68,54,82,39,66,68,29,6,6,16,1,11,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,78,71,86,32,75,78,23,14,12,133,30,4,10,9,0,5,0,9,0,1,0,0,59,15,20,3,2,0,2,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,73,71,71,64,59,68,60,14,6,27,9,19,0,1,0,2,0,5,0,0,0,0,25,3,26,0,2,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,77,75,81,21,69,76,20,10,7,48,18,13,0,3,0,4,0,8,0,0,0,0,20,2,16,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
