age,Position,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
27,Defender,72,68,75,71,63,68,76,7,12,59,24,3,0,2,5,3,0,3,0,0,37,0,115,37,0,2,4,11,1,0,1,0,0,50,0,0,1,0,0,0,0,0,0,0,0,0
30,Midfielder,78,68,80,55,75,74,28,12,15,57,14,14,4,2,0,3,0,7,0,1,0,0,47,19,5,1,2,0,2,0,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
30,Midfielder,76,54,80,42,71,73,40,7,11,20,6,16,0,1,0,0,0,5,0,0,0,0,69,17,15,5,1,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,Midfielder,68,60,72,45,70,67,38,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,Goalkeeper,21,19,26,12,5,41,12,59,68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,Midfielder,84,80,82,69,82,80,60,11,8,50,13,11,1,4,0,3,0,3,0,0,0,0,96,29,3,5,5,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,Forward,54,35,68,19,60,49,23,9,9,12,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,Forward,50,44,60,26,51,47,26,8,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,Forward,66,39,62,24,67,66,23,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,Midfielder,66,63,70,26,66,67,20,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,38,17,0,2,0,0,4,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
27,Midfielder,69,67,73,70,66,64,58,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,Defender,67,63,65,64,22,57,64,13,8,16,7,2,0,1,2,2,0,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,Goalkeeper,34,25,17,24,11,24,19,65,68,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,7,0,0,1,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0
24,Midfielder,82,74,80,78,73,77,70,12,14,35,14,10,1,0,0,4,0,3,0,0,0,0,71,24,9,2,4,0,6,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,Midfielder,65,62,63,66,57,59,51,7,9,33,14,14,0,0,0,2,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
